Image_RID,True_Class,W76_pred,W76_conf,W76_prob_airplane,W76_prob_automobile,W76_prob_bird,W76_prob_cat,W76_prob_deer,W76_prob_dog,W76_prob_frog,W76_prob_horse,W76_prob_ship,W76_prob_truck,XCE_pred,XCE_conf,XCE_prob_airplane,XCE_prob_automobile,XCE_prob_bird,XCE_prob_cat,XCE_prob_deer,XCE_prob_dog,XCE_prob_frog,XCE_prob_horse,XCE_prob_ship,XCE_prob_truck,YHP_pred,YHP_conf,YHP_prob_airplane,YHP_prob_automobile,YHP_prob_bird,YHP_prob_cat,YHP_prob_deer,YHP_prob_dog,YHP_prob_frog,YHP_prob_horse,YHP_prob_ship,YHP_prob_truck
4QJ,ship,truck,0.236584797501564,0.15620545,0.10941488,0.07916174,0.049654063,0.04669575,0.035424586,0.043087367,0.044366926,0.19940445,0.2365848,airplane,0.4819982647895813,0.48199826,0.031029388,0.01746355,0.0012419285,0.008039849,0.0013440249,0.003288005,0.00014649908,0.36965182,0.085796714,airplane,0.9663559198379515,0.9663559,0.0006064797,0.00040715802,1.3035107e-07,0.00023836177,2.4928165e-10,1.39153435e-05,2.5557143e-12,0.03211564,0.00026245537
4QM,automobile,truck,0.1484168469905853,0.043228306,0.11188839,0.12725909,0.11532988,0.054132555,0.08945397,0.11917993,0.06896018,0.12215086,0.14841685,automobile,0.6297463178634644,0.23256998,0.6297463,0.010041972,0.0029672377,0.0009561276,0.009433105,0.001114093,0.005492818,0.06826271,0.0394157,automobile,0.9821152687072754,0.0066394582,0.98211527,1.1966243e-05,2.7928925e-05,4.6444417e-09,0.00020595983,3.163983e-05,1.5700974e-05,0.0109355245,1.6492924e-05
4QP,airplane,airplane,0.5064833164215088,0.5064833,0.053245645,0.062097456,0.03560137,0.025469996,0.06202365,0.022547526,0.06536406,0.08182743,0.08533955,airplane,0.8165030479431152,0.81650305,0.0016764636,0.09586069,0.0026762274,0.014333512,0.034961764,0.0075399983,0.00073603063,0.019783664,0.0059285923,airplane,0.8840479254722595,0.8840479,5.775762e-09,0.08991123,0.00018921478,0.014119947,0.0039519477,0.0077432008,1.7260977e-08,3.47395e-05,1.7886343e-06
4QR,deer,cat,0.1743342131376266,0.045212332,0.046096586,0.12270227,0.17433421,0.039397582,0.1423717,0.16431528,0.16999726,0.040893197,0.054679606,cat,0.3198813498020172,0.0047535393,0.09846907,0.06965129,0.31988135,0.030551393,0.0140557615,0.12960519,0.008250717,0.027908504,0.2968732,cat,0.7277802228927612,6.451785e-05,7.926134e-05,0.027991362,0.7277802,0.0055059036,0.02166768,0.21443623,0.0021672754,4.2322576e-05,0.00026519404
4QT,ship,horse,0.1826876699924469,0.16379204,0.074288964,0.09814452,0.08931012,0.0582618,0.08617922,0.07281037,0.18268767,0.075708434,0.098816894,airplane,0.5039454102516174,0.5039454,0.052451216,0.02746999,0.048829135,0.03335554,0.074540235,0.007220392,0.16427438,0.038070396,0.04984325,airplane,0.966283679008484,0.9662837,0.00072810514,0.004824661,0.0053226575,0.011454379,0.00020648107,0.0002384135,0.00800729,0.001901712,0.0010327233
4QW,horse,truck,0.2922444939613342,0.04212986,0.0864768,0.0514255,0.071703054,0.10961308,0.037492678,0.08027152,0.13923365,0.089409314,0.2922445,truck,0.2850797474384308,0.018325012,0.13725314,0.0039771996,0.042831928,0.27589625,0.025823472,0.023772256,0.10657738,0.08046367,0.28507975,horse,0.9347469806671144,1.8632123e-07,2.2753416e-05,2.9802245e-06,2.7233896e-06,0.063089915,0.0017544909,4.1498984e-06,0.934747,7.1519894e-06,0.0003688183
4QY,ship,ship,0.2782917320728302,0.17425111,0.06914275,0.08837642,0.081968226,0.02994921,0.080603465,0.06539292,0.03597909,0.27829173,0.096045054,ship,0.9647464156150818,0.0071138954,0.00034786673,0.0022292673,0.008549441,0.00088508026,0.010160132,0.002372796,2.9000272e-05,0.9647464,0.0035660453,ship,0.9993963241577148,4.268818e-07,1.4899298e-06,0.0005616652,1.0096297e-05,1.4278916e-06,2.8190501e-05,1.2431026e-07,1.8980302e-11,0.9993963,2.1870252e-07
4R0,truck,truck,0.4308283925056457,0.015673203,0.06946995,0.0665883,0.05385867,0.071948856,0.0173068,0.0848411,0.051504366,0.13798027,0.4308284,truck,0.7406013011932373,0.036039483,0.06075429,0.013655,0.015450906,0.002715446,0.0018419488,0.0057493914,0.002301907,0.12089032,0.7406013,truck,0.9533458352088928,1.93791e-06,0.04650971,4.0711957e-06,3.4351422e-07,5.1540912e-08,4.3488108e-06,1.2295008e-06,3.8830228e-07,0.0001321405,0.95334584
4R2,horse,horse,0.205875739455223,0.07627704,0.05864906,0.10308888,0.06985344,0.086257085,0.056449004,0.08507122,0.20587574,0.083905295,0.17457314,horse,0.3408230543136596,0.083265685,0.0046083196,0.040902957,0.020823091,0.1877682,0.28542092,0.005533119,0.34082305,0.02144459,0.009410035,horse,0.6625478863716125,1.1398362e-06,1.4849193e-06,0.0015405866,5.8871155e-05,0.08608935,0.24904022,0.00069367007,0.6625479,2.6844871e-05,6.053893e-08
4R4,bird,dog,0.2470400929450988,0.015420037,0.017983865,0.1112586,0.14936815,0.039121624,0.2470401,0.17916794,0.20986749,0.014154075,0.016618172,horse,0.6260926723480225,0.02839092,0.0035800242,0.09817543,0.05303887,0.12161518,0.04078606,0.02511164,0.6260927,0.0027557127,0.00045351835,deer,0.9778214693069458,2.2034207e-07,7.5786524e-08,2.453969e-05,3.807391e-07,0.97782147,1.0461339e-06,2.9471437e-06,0.022149255,3.0714256e-10,1.4002947e-13
4R6,bird,airplane,0.2181964367628097,0.21819644,0.06304352,0.1381855,0.06109189,0.03072872,0.04779322,0.06311623,0.110437915,0.13506065,0.13234591,airplane,0.5394341945648193,0.5394342,0.0014242543,0.12024221,0.0052749775,0.005991804,0.0026031106,0.009461557,0.0010829003,0.30253556,0.01194952,ship,0.962367057800293,0.034999117,1.9572852e-10,0.0024607393,2.3460663e-05,3.104312e-05,9.0377466e-07,0.000117578835,2.6124825e-09,0.96236706,2.304042e-07
4R8,dog,airplane,0.2342811971902847,0.2342812,0.03935912,0.093541555,0.09608966,0.02269674,0.2144637,0.078957096,0.07770381,0.104418166,0.038488995,ship,0.5256837606430054,0.063310616,7.4142896e-05,0.0069825496,0.055844232,0.0031465762,0.28984538,0.04520375,0.001089524,0.52568376,0.008819403,dog,0.9962843656539916,2.3814646e-09,1.8575175e-14,3.5400657e-08,0.000114320894,4.6724256e-07,0.99628437,7.0854035e-06,9.026362e-09,0.003593584,1.807366e-10
