Execution_RID,Asset_RID,Class,N,Correct,Recall
W76,W96,airplane,55,29,0.5273
W76,W96,automobile,55,0,0.0
W76,W96,bird,55,0,0.0
W76,W96,cat,55,1,0.0182
W76,W96,deer,55,1,0.0182
W76,W96,dog,55,6,0.1091
W76,W96,frog,55,36,0.6545
W76,W96,horse,55,11,0.2
W76,W96,ship,55,4,0.0727
W76,W96,truck,55,44,0.8
XCE,XEE,airplane,55,27,0.4909
XCE,XEE,automobile,55,28,0.5091
XCE,XEE,bird,55,9,0.1636
XCE,XEE,cat,55,19,0.3455
XCE,XEE,deer,55,6,0.1091
XCE,XEE,dog,55,14,0.2545
XCE,XEE,frog,55,30,0.5455
XCE,XEE,horse,55,12,0.2182
XCE,XEE,ship,55,25,0.4545
XCE,XEE,truck,55,38,0.6909
YHP,YKP,airplane,55,20,0.3636
YHP,YKP,automobile,55,36,0.6545
YHP,YKP,bird,55,8,0.1455
YHP,YKP,cat,55,15,0.2727
YHP,YKP,deer,55,20,0.3636
YHP,YKP,dog,55,15,0.2727
YHP,YKP,frog,55,30,0.5455
YHP,YKP,horse,55,21,0.3818
YHP,YKP,ship,55,28,0.5091
YHP,YKP,truck,55,33,0.6
