Execution_RID,Class,True_N,Correct,Recall
XZP,airplane,50,31,0.62
XZP,automobile,50,5,0.1
XZP,bird,50,0,0.0
XZP,cat,50,0,0.0
XZP,deer,50,7,0.14
XZP,dog,50,12,0.24
XZP,frog,50,34,0.68
XZP,horse,50,4,0.08
XZP,ship,50,3,0.06
XZP,truck,50,30,0.6
Z1R,airplane,50,16,0.32
Z1R,automobile,50,17,0.34
Z1R,bird,50,11,0.22
Z1R,cat,50,24,0.48
Z1R,deer,50,21,0.42
Z1R,dog,50,6,0.12
Z1R,frog,50,21,0.42
Z1R,horse,50,23,0.46
Z1R,ship,50,29,0.58
Z1R,truck,50,12,0.24
103T,airplane,50,16,0.32
103T,automobile,50,28,0.56
103T,bird,50,15,0.3
103T,cat,50,13,0.26
103T,deer,50,11,0.22
103T,dog,50,16,0.32
103T,frog,50,21,0.42
103T,horse,50,17,0.34
103T,ship,50,23,0.46
103T,truck,50,24,0.48
