Image_RID,XZP_pred,XZP_prob_airplane,XZP_prob_automobile,XZP_prob_bird,XZP_prob_cat,XZP_prob_deer,XZP_prob_dog,XZP_prob_frog,XZP_prob_horse,XZP_prob_ship,XZP_prob_truck,Z1R_pred,Z1R_prob_airplane,Z1R_prob_automobile,Z1R_prob_bird,Z1R_prob_cat,Z1R_prob_deer,Z1R_prob_dog,Z1R_prob_frog,Z1R_prob_horse,Z1R_prob_ship,Z1R_prob_truck,103T_pred,103T_prob_airplane,103T_prob_automobile,103T_prob_bird,103T_prob_cat,103T_prob_deer,103T_prob_dog,103T_prob_frog,103T_prob_horse,103T_prob_ship,103T_prob_truck,True_Class
5PW,frog,0.015422093,0.096213356,0.12273402,0.07967826,0.15117027,0.10066571,0.19906843,0.10777471,0.032565806,0.09470741,dog,0.011920555,0.0062370864,0.051053543,0.039830346,0.24818392,0.3127227,0.10300952,0.21700919,0.0076287147,0.0024043238,deer,0.0014712885,0.0010558938,0.00034743524,3.690424e-05,0.8971029,0.052551504,0.03135327,0.0153906895,0.00010361081,0.0005865548,airplane
5PY,frog,0.016575838,0.07831363,0.15263718,0.08909076,0.1210259,0.10861357,0.21850865,0.11515763,0.026130993,0.07394589,deer,0.009141938,0.02067289,0.1169641,0.12655316,0.27227855,0.10365461,0.24137205,0.0865082,0.0074822777,0.015372189,frog,0.001521596,0.00654332,0.035922427,0.0109605435,0.06398939,0.07354029,0.7988401,0.005594794,4.149492e-05,0.0030459678,frog
5Q0,frog,0.0052509634,0.10935302,0.17712428,0.09001412,0.108094856,0.10149162,0.24676542,0.06437035,0.018082993,0.07945232,frog,0.016029868,0.055664696,0.13668446,0.19154061,0.20539246,0.02581953,0.2668709,0.004957523,0.043410406,0.05362958,frog,0.0006437497,0.0025759889,0.00058507966,0.00017107553,0.011287794,5.9105492e-05,0.97317916,2.200229e-07,5.7769444e-06,0.011492109,frog
5Q2,frog,0.0040435987,0.08668305,0.17752744,0.087691754,0.1147337,0.11904339,0.27710938,0.062628485,0.012115159,0.05842407,frog,0.0009380384,0.016604528,0.12739748,0.17075779,0.20583296,0.061198663,0.40695116,0.0019578377,0.00085320143,0.007508352,frog,2.6535412e-05,0.036040664,0.0016807395,0.0011592419,0.046766486,0.07899676,0.81950253,4.5351797e-07,7.939193e-09,0.015826648,dog
5Q4,frog,0.021604985,0.09889738,0.1200617,0.103093706,0.10621129,0.118022196,0.16133153,0.09203409,0.04551166,0.13323152,cat,0.003695432,0.015548961,0.05413265,0.4964027,0.09736461,0.07312138,0.08151711,0.031118749,0.019877886,0.12722051,cat,4.1673702e-05,1.6268035e-05,0.0034533942,0.7402409,0.00016331015,0.15960333,0.0018377019,0.0458768,6.193248e-05,0.048704732,dog
5Q8,airplane,0.6104732,0.034645163,0.022442136,0.026852958,0.023023631,0.08020578,0.015343518,0.020104073,0.12240646,0.044503074,airplane,0.73671615,0.0039166007,0.012180325,0.0006294574,0.008355869,0.00012137119,0.0007781243,0.00037435404,0.23253255,0.004395258,airplane,0.5172397,1.927538e-06,3.769963e-07,1.6991354e-09,2.7259784e-07,2.7786098e-12,1.0901079e-07,8.92199e-13,0.48275763,2.4412776e-09,airplane
5QM,frog,0.02114714,0.08572009,0.1516475,0.0978381,0.11235645,0.15229419,0.18271242,0.097843185,0.03427105,0.064169906,frog,0.0036310116,0.0021193102,0.3414049,0.09740648,0.05718981,0.1156148,0.3487517,0.027122306,0.0052811387,0.0014786198,frog,0.0001202134,0.0010891826,0.3621162,0.00067068805,6.792718e-07,0.0028032407,0.6329162,4.1213672e-05,0.0002052235,3.7186644e-05,ship
5QR,dog,0.044420224,0.09474439,0.117751144,0.10894532,0.12140585,0.15467288,0.13673005,0.111031845,0.042302523,0.06799575,deer,0.011420514,0.038039755,0.113870434,0.10598107,0.3356992,0.16011429,0.1490775,0.061496817,0.00336895,0.02093145,dog,0.00475762,0.018930547,0.3358765,0.035633795,0.006153193,0.4430933,0.15239841,0.00056289084,5.7862442e-05,0.0025358938,bird
5QW,truck,0.03959791,0.124797426,0.07806321,0.06484911,0.1258193,0.08341751,0.08987316,0.06590928,0.106236055,0.22143708,frog,0.006941317,0.045349382,0.14183342,0.18222322,0.09729523,0.11559302,0.21956925,0.09335779,0.047924366,0.049912952,truck,0.00027494133,0.39645708,0.00812022,0.15362374,0.002967051,0.012268114,0.004808484,0.006222466,0.003872256,0.41138563,automobile
5R0,ship,0.16108693,0.090451494,0.044968557,0.063975416,0.08788212,0.09670565,0.05598541,0.06316507,0.18796927,0.14781013,ship,0.041215725,0.0044073565,0.0025187987,0.0023280333,0.01049443,0.023837741,0.0020099336,0.010239661,0.90000844,0.0029399616,ship,0.00019310616,2.2518865e-05,5.171562e-09,1.3760084e-09,7.9525427e-07,2.0586185e-05,1.0716737e-08,1.314859e-08,0.99975055,1.2403017e-05,ship
5R2,frog,0.0072055375,0.044092968,0.15877704,0.0757827,0.112408236,0.1152754,0.28987706,0.13418284,0.010256075,0.05214221,deer,0.0013801693,0.00026130033,0.043906827,0.097417586,0.35099745,0.04232499,0.18964516,0.2709672,0.0010589106,0.002040432,horse,4.655853e-06,2.38372e-09,0.007582518,0.0006768912,0.32588238,0.0018806604,0.019121813,0.6448506,4.406244e-10,5.4633574e-07,deer
5R4,frog,0.018391505,0.07415699,0.104487754,0.0802419,0.15126808,0.11627079,0.19064307,0.13531928,0.027187338,0.10203329,dog,0.00071936473,0.005244772,0.03854761,0.07561288,0.11802125,0.37680772,0.109393194,0.26984107,7.155021e-05,0.0057405434,bird,2.144818e-08,0.016363481,0.44457123,7.717871e-05,0.0007034336,0.34772214,0.18724619,0.002571325,1.0263099e-11,0.0007450664,dog
5RC,automobile,0.03412957,0.22411782,0.067091756,0.08006853,0.115011595,0.12569126,0.08029048,0.045988258,0.059679635,0.16793102,automobile,0.0043029916,0.91513604,0.0006582277,0.0035051352,0.010822194,0.0034788032,0.0012766414,0.00041951094,0.002606424,0.057794083,automobile,1.0367254e-08,0.98894113,1.453863e-09,3.8088834e-09,6.606582e-08,1.49856405e-05,3.6628824e-06,6.4014927e-10,3.3588512e-07,0.011039782,automobile
5RE,truck,0.098156765,0.091431916,0.045560215,0.06360871,0.11231197,0.090697944,0.06696986,0.07580547,0.13059022,0.22486688,deer,0.0031562762,0.03095482,0.0057041394,0.07942724,0.3947673,0.08258137,0.06159008,0.117631264,0.016278144,0.20790932,deer,1.8219544e-07,4.484017e-06,7.3884e-07,0.001631012,0.47120604,0.45234656,1.5170941e-05,0.057468347,2.0813117e-08,0.017327452,truck
5RG,airplane,0.28564218,0.06671012,0.024586491,0.040319625,0.0669851,0.07842088,0.03523795,0.042667788,0.1778141,0.18161584,ship,0.059750363,0.021008622,0.001296728,0.0005436467,0.0073092687,0.0010286068,0.003446121,0.00041645032,0.8863489,0.01885127,ship,0.00018651618,0.0023746616,4.7365397e-08,1.3470368e-10,2.9396622e-07,1.26309585e-08,1.9523019e-07,1.4259002e-10,0.99178433,0.005653925,ship
5RM,truck,0.056011442,0.097017385,0.10271374,0.07326872,0.13644135,0.08814166,0.116765805,0.11980215,0.061743185,0.14809456,deer,0.031453446,0.106921814,0.14209285,0.14976016,0.32838848,0.059615154,0.06765646,0.02770667,0.0096401265,0.07676487,airplane,0.4352346,0.2858459,0.01776216,0.0072360663,0.05292356,0.007428775,0.11378405,0.00015232828,0.00095412787,0.078678444,bird
5RP,automobile,0.024507692,0.15826784,0.11966957,0.065842256,0.15034051,0.08095832,0.12593111,0.07420745,0.05085518,0.14942007,airplane,0.38952133,0.1653308,0.19855186,0.008059874,0.079911694,0.054247607,0.011025238,0.005137586,0.07179008,0.016423963,bird,0.43777207,0.015724992,0.5209275,7.28389e-08,0.00487773,0.012312711,0.004318169,2.1023127e-06,0.0040420108,2.2777174e-05,bird
5RR,truck,0.028866317,0.099944875,0.112769954,0.06559907,0.13771985,0.09764979,0.13454558,0.11607325,0.047003016,0.15982825,bird,0.027944056,0.04404414,0.2175929,0.0922093,0.14714763,0.0715729,0.08416098,0.17675246,0.018097611,0.12047804,bird,0.000556474,0.00025083194,0.8880608,0.00020133627,0.0024154524,0.00050450803,0.00046002635,0.023497518,4.0744453e-06,0.08404904,ship
5RT,airplane,0.4836131,0.062093686,0.028188422,0.03903224,0.03277794,0.10985013,0.020352129,0.023116156,0.13730785,0.06366826,airplane,0.56175774,0.06344204,0.12402828,0.0081458045,0.020525973,0.010504604,0.0068182168,0.0023430558,0.19379027,0.008644045,automobile,0.022590082,0.5562068,0.06545226,7.199257e-07,2.1631135e-06,0.004069661,0.0032168683,1.6609318e-08,0.34842268,3.8701535e-05,automobile
5RY,airplane,0.33058867,0.053111907,0.036338363,0.09043927,0.057435296,0.17405081,0.046877403,0.057808124,0.11037362,0.04297653,cat,0.0027649445,0.0009967698,0.03622623,0.6194703,0.21759108,0.028744388,0.031024126,0.057022605,0.0027343088,0.0034252512,cat,2.3572631e-05,0.0010515128,0.18717624,0.73368514,0.037332553,0.018197479,0.02053153,0.0015022481,0.00011461479,0.0003850946,cat
5S0,truck,0.08350189,0.1216145,0.06732779,0.08209244,0.11932884,0.11721722,0.084509835,0.080326095,0.08068442,0.16339694,automobile,0.022022298,0.31885868,0.04542217,0.0579252,0.18716574,0.020071073,0.048191335,0.013774222,0.027612036,0.25895727,truck,0.00819823,0.20196399,6.467563e-05,6.3736414e-05,3.430456e-06,6.4580905e-05,0.0005765408,1.9183226e-05,0.00017745078,0.78886807,truck
5S2,dog,0.107929274,0.086970374,0.07390022,0.102089815,0.09588614,0.13261826,0.091839395,0.09401365,0.10209592,0.112656936,cat,0.002429938,0.005593515,0.12674363,0.45772392,0.122636124,0.024968216,0.074038126,0.16497374,0.006873871,0.014018996,horse,1.5434102e-07,0.0030377805,0.03954919,0.33938116,0.0062159174,0.26431978,0.00506065,0.3422211,3.7639632e-06,0.00021048922,cat
5S4,frog,0.012064153,0.11414887,0.11122002,0.077986464,0.15057725,0.12057848,0.1771187,0.10201842,0.016783133,0.117504515,automobile,0.0051885266,0.718536,0.0034832987,0.016289482,0.09223132,0.009518088,0.00892463,0.009140589,0.00076478964,0.13592324,automobile,9.161032e-05,0.85179806,7.7547206e-08,2.1919143e-07,0.00056383666,0.00039416048,3.084746e-05,0.0001411012,8.501103e-08,0.14697993,ship
5S6,airplane,0.4998291,0.042353258,0.031613167,0.03497769,0.03893381,0.09061069,0.027339907,0.03469433,0.14376542,0.055882644,airplane,0.7069794,0.0009626254,0.028551115,0.0002699514,0.010084577,0.0011882926,0.005933273,0.0007832028,0.24441415,0.0008333975,airplane,0.92372876,2.6843196e-07,2.6849215e-05,2.5198672e-09,2.6257912e-05,2.3731333e-08,2.4988969e-05,9.561259e-13,0.07619287,7.3030965e-10,airplane
5S8,frog,0.008608075,0.10487,0.14438628,0.074218266,0.13633274,0.069690526,0.20086643,0.081721514,0.03523345,0.14407279,cat,0.0028553952,0.020535413,0.1274001,0.42173958,0.11170141,0.10293137,0.11661613,0.057277232,0.016447911,0.022495478,cat,0.000108326065,0.01952724,0.16684934,0.5786798,0.011992911,0.17238483,0.016467698,0.022418877,1.003054e-06,0.011570034,cat
5SA,frog,0.005102578,0.08361802,0.14849849,0.094009355,0.11297974,0.105739504,0.28252858,0.07612093,0.019217957,0.07218483,frog,9.878713e-05,0.0009294448,0.015585664,0.36031938,0.093167305,0.024272306,0.47524014,0.027884157,0.0015183316,0.0009845434,frog,1.5993844e-08,0.00012636304,3.319645e-06,0.016283827,5.103421e-05,8.629357e-05,0.98284286,0.00060485216,8.4858826e-08,1.4344873e-06,frog
5SE,dog,0.050452974,0.083400786,0.10484783,0.112100706,0.11000515,0.18012202,0.14448343,0.110420175,0.032196786,0.07197012,deer,0.0038552862,0.037035957,0.038412787,0.19998877,0.4194923,0.016154764,0.23279338,0.013161154,0.002585773,0.036519762,deer,0.0015278761,0.007186821,7.953742e-05,0.15626174,0.5032713,0.075849205,0.051991872,0.19047458,1.1746111e-05,0.013345323,deer
5SP,airplane,0.65893275,0.022559678,0.01038493,0.01795559,0.020803591,0.06661993,0.012054086,0.013854949,0.14089695,0.03593763,ship,0.47233534,0.0016486667,0.0068987254,0.0022043914,0.012203746,0.001974197,0.0139611075,0.00017563603,0.48748145,0.0011166304,airplane,0.5438213,2.9156437e-05,4.829998e-08,3.594255e-08,3.5389427e-08,3.8761114e-10,3.8547396e-09,7.65332e-18,0.45614937,4.6743707e-09,ship
5ST,ship,0.14751141,0.13674204,0.05648585,0.06590198,0.06492737,0.08975234,0.04122985,0.03522263,0.2051054,0.15712114,ship,0.007103306,0.037662324,0.043597613,0.016659336,0.008682154,0.0018779653,0.004272159,0.00071908557,0.85852647,0.020899516,ship,1.4700382e-05,0.10410701,0.16419432,6.8212557e-06,1.0604622e-08,4.7209934e-07,6.320539e-05,1.2886674e-09,0.7314181,0.00019535549,ship
5T0,truck,0.11330888,0.11174228,0.036514096,0.04634479,0.10019138,0.06885606,0.046240933,0.053843506,0.15001757,0.27294043,ship,0.09184522,0.27253166,0.0033120548,0.0014823801,0.0139821125,0.0074767214,0.006578339,0.003136589,0.5870357,0.012619242,automobile,0.10339324,0.6146023,1.1246949e-08,1.3053322e-10,2.7363092e-06,2.3942155e-06,4.852854e-06,2.9748193e-08,0.14846954,0.13352494,truck
